Week_Year;Person1;Gender1;Occupation1;OccupationCategory1;Age1;HousingUnit1;Rooms1;Roommates1;Changes1;Consistencies1;Person2;Gender2;Age2;Occupation2;OccupationCategory2;HousingUnit2;Rooms2;Roommates2;Changes2;Consistencies2;;
34-19;entfallt;m;Architekt;B (berufstatig);30-45;flat;2.5;1;Stizgelegenheit;Schlafzimmer, Tisch;;;;;;;;;;;;
35-19;entfallt;m;Architekt;B (berufstatig);30-45;flat;4;1;Büro, Lager,Küche;Schalfzimmer;;;;;;;;;;;;
36-19;entfallt;;;;;;;;;;;;;;;;;;;;;
37-19;entfallt;m;Architekt;B (berufstatig);30-45;house;10;3;Arbeitsfläche,Tische ;Esszimmer,Wohnzimmer,Flur;Person;w;30.45;Schriftstellerin;B (berufstatig);house;10;3;Arbeitsfläche,Tische ;Esszimmer,Wohnzimmer,Flur;;
38-19;Person 1;m;Architekt ;B (berufstatig);30-45;house;6.0;6;Esszimmer, Schlafzimmer;Keine;;;;;;;;;;;;
39-19;Person 2;m;Dr. Kunsthistoriker;B (berufstatig);30-45;flat;4.5;3;Alles (Neubezug);Keine;;;;;;;;;;;;
40-19;entfallt;;;;;;;;;;;;;;;;;;;;;
41-19;Person 3.1;w;Arch.studentin;A (studierend);18-30;flat;3.5;3;Wohnzimmer;Schlafzimmer, Kuche;Person 3.2;w;18-30;Arch.studentin;A (studierend);flat;3.5;2;Keine;Alles;;
42-19;Person 4.1;m;Architekt;B (berufstatig);30-45;flat;3.5;4;Keine (gelegentlich: Schlafzimmer);Alles;Person 4.2;m;18-30;Schuler;D (nicht-berufstatig);flat;3.5;4;Keine (gelegentlich: Schlafzimmer);Alles;;
43-19;entfallt;;;;;;;;;;;;;;;;;;;;;
44-19;Person 5.1;m;Arch.student;A (studierend);18-30;flat;6.0;5;Terrasse;Alles;Person 5.2;w;18-30;Arch.studentin;A (studierend);flat;1.5;1;Keine (bei Besuch Esszimmer);Alles;;
45-19;Person 6.1;w;Arch.studentin;A (studierend);18-30;flat;2.5;2;Keine;Alles;Person 6.2;w;18-30;Arch.studentin;A (studierend);flat;3.5;2;Keine;Alles;;
46-19;Person 7.1;m;Arch.student;A (studierend);18-30;flat;1.5;1;Keine;Alles;Person 7.2;w;18-30;Arch.studentin;A (studierend);flat;4.5;3;Keine;Alles;;
47-19;Person 8;w;Arch.student;A (studierend);18-30;flat;3.5;2;Wintergarten, Wohnzimmer;Kuche;;;;;;;;;;;;
48-19;Person 9.1;m;Arch.student;A (studierend);18-30;flat;2.5;2;Balkon, Flur (selten: Kuche);Schlafzimmer, Badezimmer;Person 9.2;m;18-30;Arch.student;A (studierend);;;fehlt;fehlt;fehlt;;
49-19;entfallt;w;Operatrice;C (Teilzeit-berufstatig);fehlt;flat;4.5;3;Ablage;Keine;Person;m;fehlt;Arch.student;A (studierend);flat;3.5;3;Bücjerregal;Alles;;
50-19;entfallt;m;Student;A;fehlt;flat;9.5;3;Keine;Alles;Person;m;fehlt;Arch.student;A (studierend);flat;3.5;3;Keine;Küche, Bad, Zimmer;;
51-19;entfallt;w;Architektin;A;30-45;flat;2.5;2;Wohnzimmer;Keine;;;;;;;;;;;;
52-19;entfallt;;;;;;;;;;;;;;;;;;;;;
01-20;entfallt;;;;;;;;;;;;;;;;;;;;;
02-20;Person 10;w;Buchhandlerin, Bibliothekarin;B (berufstatig);30-45;flat;2.5;1;Esszimmer;Kuche, Wohnzimmer, Schlafzimmer;;;;;;;;;;;;
03-20;entfallt;w;Hauswirtschaftslehrerin;C (Teilzeit-berufstatig);60-75;flat;4.5;3;;;Person;m;60-75;Redaktor NZZ, Pensioniert;D (nicht-berufstatig);flat;4.5;3;;;;
04-20;entfallt;w;Administrator;C (Teilzeit-berufstatig);45-60;flat;2.5;1;D;D;;;;;;;;;;;;
05-20;entfallt;W;Projektleiterin;C (Teilzeit-berufstatig);30-45;flat;3.5;2;Keine;D;Person;m;30-45;Typograph;B (berufstatig);flat;3.5;2;Keine;D;;
06-20;Person 11;m;pensonierter Maschinenbauing. / Informatiker;D (nicht-berufstatig);60-75;flat;5.5;2;Wohnzimmer;Arbeitszimmer, Schlafzimmer;;;;;;;;;;;;
07-20;Person 12;m;Soziologe, research ass ETH Wohnforum;B (berufstatig);30-45;flat;1.5;1;Fast alles;Badezimmer;;;;;;;;;;;;
08-20;Person 13;m;Architekt, Assistent D-ARCH;B (berufstatig);30-45;flat;3.5;2;Wohnzimmer, Schlafzimmer;Kuche, Bad;;;;;;;;;;;;
09-20;Person 14.1;w;Arch.studentin;A (studierend);18-30;flat;2.5;2;Wohnzimmer;Schlafzimmer;Person 14.2;w;18-30;Arch.studentin;A (studierend);flat;3.5;3;Keine (gelegentlich: Schlafzimmer);Alles;;
10-20;Person 15;m;Architekt, Assistent D-ARCH;B (berufstatig);30-45;flat;3.5;2;Keine;Keine;;;;;;;;;;;;
11-s20;Person 16.1;w;Arch.studentin;A (studierend);18-30;flat;5.5;4;Wohnzimmer, Kuche;Keine;Person 16.2;m;18-30;Arch.student;A (studierend);house;10.0;8;Schlafzimmer;Kuche, Bad, Flur;;
12-20;entfallt;;;;;;;;;;;;;;;;;;;;;
