id;Sensorname;Type;Subtype;Value1;Value2;ValueDiff;Duration;Timestamp
318553;Drehwand;turn;93-0;57.39;45.94;11.45;1479;"=""2020-12-14 08:51:59.507"""
318554;Drehwand;turn;93-0;45.94;42.06;3.88;1530;"=""2020-12-14 08:52:02.662"""
318555;H_Eingang_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-14 08:52:10.166"""
318556;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 08:52:32.364"""
318557;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 08:52:34.346"""
318558;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 08:53:44.124"""
318559;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 08:53:46.654"""
318560;K_Fen_Oben_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 08:53:48.880"""
318561;K_Fen_Oben_Str;zwave;Contact;CLOSED;;;;"=""2020-12-14 08:54:12.095"""
318562;K_Wasch_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 08:54:18.192"""
318563;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 08:55:01.729"""
318564;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 08:55:18.175"""
318565;K_Wasch_Str;zwave;Contact;CLOSED;;;;"=""2020-12-14 08:56:09.922"""
318566;W_Fen_Wand_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 08:56:55.318"""
318567;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-14 08:56:59.850"""
318568;K_Fen_Oben_Str;zwave;Contact;OPEN;;;;"=""2020-12-14 08:57:43.689"""
318569;W_Balkon_cyrspec_temp;zwave;Temperature;3.68;;;;"=""2020-12-14 08:57:53.027"""
318570;W_Balkon_cyrspec_moist;zwave;MoistPercent;103.44;;;;"=""2020-12-14 08:57:53.203"""
318571;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-14 08:57:53.672"""
318572;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 08:58:24.880"""
318573;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 08:58:27.176"""
318574;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-14 08:58:44.414"""
318575;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-14 08:58:46.646"""
